* Required Fields,* Obligatoriske felt
New account,Ny konto
New account confirmed,Ny konto bekreftet
New Customer,Ny kunde
New Customer Address,Ny kundeadresse
New Customer Group,Ny kundegruppe
New Customer Groups,Nye kundegrupper
New Customers,Nye kunder
Newsletters,Nyhetsbrev
Newsletter,Nyhetsbrev
Newsletter Received,Nyhetsbrev mottatt
Newsletter Finish,Nyhetsbrev slutt
Newsletter Start,Nyhetsbrev start
Newsletter Subscription,Nyhetsbrevabonnement
Newsletter Information,Nyhetsbrevinformasjon
New password,Nytt passord
New Password,Nytt passord
Update,Oppdat?r
Update customer address data,Oppdater adresseinfo for kunde
Update customer data,Oppdater kundedata
"Records for ""","Oppf&oslash;inger for """
Create,Opprett
Create customer,Opprett kunde
Create customer address,Opprett kundeadresse
Create New Customer Account,Opprett kundekonto
Create an Account,Opprett ny konto
Order List...,Ordreliste...
Order #,Ordrenummer
Order #%s (%s),Ordrenummer %s (%s)
Order Total,Ordretotal
Tax/VAT number,Organisasjonsnummer
TAX/VAT number is required.,Organisasjonsnummer er p&aring;krevd.
Password,Passord
Password forgotten,Passord glemt
Password minimal length must be more %s,Passord m&aring; v?re lengre %s
Password fields can't be empty.,Passord-felt kan ikke v?re tomme.
Password can't be empty,Passord-feltet kan ikke v?re tomt
Password Management,Passordbehandling
Password must have at least 6 characters. Leading or trailing spaces will be ignored.,Passordet m&aring; best&aring; av minst seks tegn. Mellomrom f&oslash;rst eller sist i passordet ignoreres.
Paused,Pauset
PDF,PDF-format
Personal Information,Personlig informasjon
ZIP,Postnummer
ZIP/Post Code,Postnummer
ZIP/Postal Code,Postnummer
Zip/Postal Code,Postnummer
State/Province,Poststed
Per Website,Pr nettsted
Prefix,Prefiks
Prefix dropdown options,Prefiks-alternativer (dropdown)
Primary Billing Address,Prim?r fakturaadresse
Primary Shipping Address,Prim?r leveringsadresse
Price,Pris
"Problem saving the collection, aborting. Error: %s",Problem ved lagring. Feil: %s
Product,Produkt
Product ID,Produkt-ID
Product name,Produktnavn
Product Name,Produktnavn
Product Reviews,Produktomtaler
Product Tags,Produkttagger
Edit Address,Rediger adresse
Edit Address Entry,Rediger adresseoppf&oslash;ring
Edit Group,Rediger gruppe
Edit Account Information,Rediger kontoinformasjon
"Edit Customer Group ""%s""","Rediger kundegruppe ""%s"""
Edit Customer Groups,Rediger kundegrupper
Edit Account Info,Rediger kundeinfo
Edit Newsletters,Rediger nyhetsbrev
Edit Personal Information,Rediger personlig informasjon
Registered Customers,Registrerte kunder
Sales Statistics,Salgsstatistikk
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,Se dine siste handlinger og kj&oslash;p fra ditt Kontopanel.
Please make sure your passwords match.,Se til at passordene er like.
Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.,Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.
Submit,Registrer
Send auto-generated password,Send automatisk generert passord
Send confirmation link,Send bekreftelseslink
Ship to Last name,Send til etternavn
Ship to First name,Send til fornavn
Send Welcome Email after Confirmation,Send velkomstmelding etter bekreftelse
Send welcome email,Send velkomstmelding p&aring; epost
Sending,Sender
Sent,Sendt
Shipped to Last Name,Sendt til etternavn
Shipped to First Name,Sendt til fornavn
Shipped to Name,Sendt til navn
Set as Default Billing Address,Sett som standard fakturaadresse
Set as Default Shipping Address,Sett som standard leveringsadresse
Last Viewed Items,Sist viste varer
Last Activity,Siste aktivitet
Recent Orders,Siste bestillinger
Last 5 Orders,Siste fem bestillinger
Last Url,Siste URL
"Please, check your e-mail for confirmation key.",Sjekk eposten din etter bekreftelseskode.
Please enter your email below and we'll send you confirmation link for it.,Skriv inn din epost-adresse nedenfor og vi sender deg bekreftelseslink.
Please enter your email below and we'll send you a new password.,Skriv inn din epost-adresse nedenfor og vi sender deg nytt passord.
Please enter your email below and we'll send you a new password.,Skriv inn din epost-adresse nedenfor og vi sender deg nytt passord.
Delete,Slett
Delete Address,Slett adresse
Delete customer,Slett kunde
Delete Customer,Slett kunde
Delete customer address,Slett kundeadresse
Delete Customer Group,Slett kundegruppe
Deleted Stores,Slettede butikker
Grand Total,Sluttsum
Ext. Price,Sluttsum
Grand Total: %s,Sluttsum: %s
Default Email Domain,Standard epost-domene
Default Billing Address,Standard fakturaadresse
Default Shipping Address,Standard leveringsadresse
Default Welcome Email,Standard Velkomst-epost
Default Addresses,Standardadresser
Default Group,Standardgruppe
Session Start Time,Starttidspunkt for &oslash;kt
Status,Status:
Unsubscribe from newsletter,Stopp abonnement p&aring; nyhetsbrev
Visible In,Synlig i
Array of Entity collections is expected,Tabell med instanssamlinger forventet
Tag Name,Taggnavn
Thank you for registering with %s,Takk for at du registrerte deg hos %s
Text,Tekst
Telephone,Telefon
To Cart,Til handlekurven
Back,Tilbake
Back to Login,Tilbake til innlogging
Refunded,Tilbakebetalt
Assign a customer group,Tilordne en kundegruppe
"The title that goes before name (Mr., Mrs., etc.)","Tittel (Mr., Mrs., etc.)"
Lifetime Sales,Total omsetning
Total,Totalt
Type,Type:
"Invalid attribute set specified, skipping the record","Ugyldig attributtsett, hopper over oppf&oslash;ringen"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ugyldig attributtvalg for attributt %s (%s), hopper over oppf&oslash;ringen"
Wrong confirmation key.,Ugyldig bekreftelseskode.
Invalid login or password.,Ugyldig brukernavn eller passord.
"Invalid store specified, skipping the record","Ugyldig butikk spesifisert, hopper over oppf&oslash;ringen"
Invalid email address,Ugyldig epost-adresse
"Invalid email address ""%s""","Ugyldig epost-adresse ""%s"""
Wrong email.,Ugyldig epost.
Wrong transactional account email type.,Ugyldig kontotype.
Invalid customer data,Ugyldig kundedata
Wrong customer account specified.,Ugyldig kundekonto.
"Invalid option id specified for %s (%s), skipping the record","Ugyldig valg-ID spesifisert for %s (%s), hopper over oppf&oslash;ringen"
Unknown,Ukjent
Items Order,Varebestilling
SKU,Varekode
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved &aring; opprette en konto hos oss vil du enklere kunne gjennomf&oslash;re fremtidige kj&oslash;p, f&aring; oversikt over alle dine kj&oslash;p, osv."
Please select,Velg
"Please select region, state or province",Velg fylke
Welcome Email,Velkomst-epost
Pending,Venter
Are you sure you want to cancel adding of this address?,Vil du avbryte opprettelsen av denne adressen?
Are you sure that you want to remove this item?,Vil du fjerne denne varen?
Are you sure you want to delete this address?,Vil du slette denne adressen?
View,Vis
Show suffix,Vis ending
Show date of birth,Vis f&oslash;dselsdato
Show middle name (initial),Vis mellomnavn
Show Tax/VAT number,Vis mva-nummer
View Order,Vis ordre
View Order List,Vis ordreliste
Show prefix,Vis tittel
XML,XML-format
Wishlist,&oslash;nskeliste
Wishlist - %d item(s),&oslash;nskeliste - %d vare(r)
There are no items in customer's wishlist at the moment,&oslash;nskelisten er for &oslash;yeblikket tom
Last Ordered Items,Sist bestilte varer
Go to shopping cart,G&aring; til handlekurven
Clear Shopping Cart,Clear Handlevogn
Product was added to cart successfully,Produktet er lagt i handlekurven
View Cart,Se handlevogn
Flat Rate,Flat Rate
Check / Money order,Sjekk / Money Order 
Credit Card (saved),Credit Card (lagret)
Add product to Compare sucessfully,Legg til produktet til sammenligning sucessfully 
Go to list Compare,G&aring; til liste Sammenlign 
Add product to Wishlist sucessfully,Legg til produktet til &oslash;nskelisten sucessfully 
Go to wishlist,G&aring; til &oslash;nskeliste
